,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
9,A Dananjaya (SL),2012-2019,22,12,4,49,11*,6.12,57,85.96,0,0,2,6,0,
10,JN Frylinck (NAM),2019-2019,14,7,4,49,19*,16.33,47,104.25,0,0,1,2,1,
11,CU Jayasinghe (SL),2009-2010,5,3,2,49,38,49.0,49,100.0,0,0,0,3,1,
12,Junaid Siddiqui (CAN),2012-2019,13,7,3,49,21,12.25,41,119.51,0,0,1,2,2,
13,HG Kuhn (SA),2009-2017,7,6,2,49,29,12.25,42,116.66,0,0,0,3,2,
14,Nanda Kumar (CRC),2019-2019,3,3,0,49,39,16.33,58,84.48,0,0,1,3,2,
15,SD Outerbridge (BMUDA),2008-2008,3,3,1,49,37*,24.5,51,96.07,0,0,0,2,1,
16,DA Rankin (IRE),2015-2016,2,2,0,49,34,24.5,54,90.74,0,0,0,3,2,
17,Saber Zakhil (Belg),2019-2019,3,3,0,49,18,16.33,35,140.0,0,0,0,2,3,
18,DC Smith (PHI),2019-2019,4,4,1,49,22,16.33,53,92.45,0,0,0,5,0,
19,K Weeraratne (SL),2008-2009,5,5,2,49,20*,16.33,45,108.88,0,0,0,4,1,
20,S Jamil (Belg),2019-2019,3,3,0,48,24,16.0,49,97.95,0,0,0,5,2,
21,Muhammad Nadeem (Saudi),2019-2019,5,3,0,48,43,16.0,49,97.95,0,0,0,7,1,
22,MIA Patel (MWI),2019-2019,3,2,1,48,40*,48.0,44,109.09,0,0,0,6,1,
23,Qalandar Khan (QAT),2019-2019,4,3,0,48,25,16.0,43,111.62,0,0,0,2,3,
24,YSD Seneveratne (Caym),2019-2019,6,6,0,48,19,8.0,79,60.75,0,0,1,5,1,
25,J Singye (BHU),2019-2019,2,2,0,48,40,24.0,64,75.0,0,0,0,2,0,
26,C Zhuwao (ZIM),2008-2018,7,7,0,48,24,6.85,66,72.72,0,0,4,7,1,
27,M Aboagye (Ghana),2019-2019,3,3,1,47,24,23.5,53,88.67,0,0,0,3,0,
28,VD Adewoye (NGA),2019-2019,7,6,2,47,23*,11.75,42,111.9,0,0,2,4,2,
29,Delawar Khan (DEN),2019-2019,9,8,1,47,17,6.71,40,117.5,0,0,2,0,4,
30,D Weston (GER),2019-2019,6,6,0,47,18,7.83,54,87.03,0,0,2,5,1,
31,SA Ahmad (DEN),2019-2019,5,3,1,46,25,23.0,54,85.18,0,0,0,2,0,
32,KM Dabengwa (ZIM),2006-2010,8,7,3,46,16*,11.5,40,115.0,0,0,0,4,2,
33,K Gupta (Chile),2019-2019,4,4,1,46,19*,15.33,64,71.87,0,0,1,1,0,
34,JW Hastings (AUS),2010-2016,9,6,2,46,15,11.5,37,124.32,0,0,0,3,1,
35,Z Hoque (THAI),2019-2019,3,3,0,46,20,15.33,35,131.42,0,0,0,4,2,
36,MM Iqbal (SCOT),2012-2013,6,3,0,46,31,15.33,45,102.22,0,0,0,4,1,
37,RJ Trott (BMUDA),2008-2019,15,10,4,46,19,7.66,84,54.76,0,0,2,3,0,
38,JJ van der Wath (SA),2006-2007,8,4,1,46,21,15.33,39,117.94,0,0,0,3,1,
39,Anasim Khan (BAH),2019-2019,4,3,1,45,22,22.5,39,115.38,0,0,0,2,1,
40,S Ateak (Ghana),2019-2019,3,3,0,45,26,15.0,48,93.75,0,0,0,6,1,
41,R Bakum (Ghana),2019-2019,4,4,0,45,18,11.25,45,100.0,0,0,1,4,2,
42,Haseeb Amjad (HKG),2014-2016,18,10,6,45,12*,11.25,45,100.0,0,0,0,3,1,
43,MG Hunter (GIBR),2019-2019,4,3,0,45,27,15.0,61,73.77,0,0,0,2,1,
44,NJ Maddinson (AUS),2013-2018,6,4,0,45,34,11.25,35,128.57,0,0,0,6,1,
45,Mamoon Latif (Belg),2019-2019,3,3,0,45,24,15.0,52,86.53,0,0,0,2,2,
46,T Munyonga (ZIM),2019-2019,5,3,2,45,44,45.0,34,132.35,0,0,0,3,1,
47,Nazril Rahman (MAL),2019-2019,7,4,1,45,24*,15.0,45,100.0,0,0,0,4,0,
48,VE Tembo (Moz),2019-2019,6,5,2,45,20*,15.0,52,86.53,0,0,0,2,0,
49,Yasar Haroon (),2019-2019,4,4,0,45,29,11.25,62,72.58,0,0,0,4,1,
0,Zohaib Sarwar (PORT),2019-2019,4,4,1,45,33*,15.00,46,97.82,0,0,2,1,4,
1,Abrar Bilal (Aut),2019-2019,3,2,0,44,41,22.00,24,183.33,0,0,0,6,2,
2,AJ Ayannaike (NGA),2019-2019,3,3,0,44,33,14.66,43,102.32,0,0,1,4,2,
3,AA Banner (Blz),2019-2019,3,2,0,44,28,22.00,29,151.72,0,0,0,4,3,
4,JM Davison (CAN),2008-2010,5,5,0,44,19,8.80,40,110.0,0,0,2,2,3,
5,L Emilio (Moz),2019-2019,5,4,0,44,23,11.00,35,125.71,0,0,0,4,1,
6,GF Gomes (Moz),2019-2019,7,6,1,44,28,8.80,46,95.65,0,0,1,6,1,
7,Ismat Ullah (),2019-2019,4,4,0,44,42,11.00,47,93.61,0,0,1,4,1,
8,Saad Nasim (PAK),2014-2014,3,2,0,44,25,22.00,53,83.01,0,0,0,0,1,
9,S Badree (WI/World),2012-2018,52,16,10,43,14*,7.16,65,66.15,0,0,0,1,1,
10,S Badrinath (INDIA),2011-2011,1,1,0,43,43,43.00,37,116.21,0,0,0,5,0,
11,P Baron (Arg),2019-2019,5,3,0,43,27,14.33,38,113.15,0,0,0,0,4,
12,NO Miller (WI),2009-2014,9,5,4,43,15*,43.00,47,91.48,0,0,0,2,0,
13,P Mishra (),2019-2019,3,3,1,43,23,21.50,26,165.38,0,0,0,3,4,
14,Mustafizur Rahman (BDESH),2015-2019,37,15,5,43,15,4.30,55,78.18,0,0,4,3,3,
15,Saad Bin Zafar (CAN),2019-2019,11,4,1,43,20,14.33,33,130.3,0,0,0,3,2,
16,M Sohel Patel (PNM),2019-2019,2,2,0,43,40,21.50,39,110.25,0,0,0,2,3,
17,Amjad Ali (UAE),2014-2015,5,5,1,42,20,10.50,52,80.76,0,0,0,6,0,
18,F Baaleri (Ghana),2019-2019,4,4,0,42,17,10.50,60,70.0,0,0,0,6,0,
19,NG Jones (IRE),2010-2012,5,4,2,42,14*,21.00,38,110.52,0,0,1,1,2,
20,Mohamed Mahfooz (Mald),2019-2019,11,5,0,42,16,8.40,53,79.24,0,0,0,3,0,
21,Muaviath Ganee (Mald),2019-2019,5,4,0,42,19,10.50,44,95.45,0,0,0,3,1,
22,LE Plunkett (ENG),2006-2019,22,11,4,42,18,6.00,34,123.52,0,0,3,3,1,
23,AT Rayudu (INDIA),2014-2016,6,5,1,42,20,10.50,50,84.0,0,0,2,5,0,
24,M Sert (TKY),2019-2019,4,4,1,42,16,14.00,59,71.18,0,0,0,5,0,
25,DC Stovell (BMUDA),2019-2019,6,6,1,42,18*,8.40,50,84.0,0,0,1,5,0,
26,JK Vifah (Ghana),2019-2019,3,3,0,42,23,14.00,45,93.33,0,0,0,2,1,
27,KJ Young (Blz),2019-2019,3,3,2,42,27*,42.00,34,123.52,0,0,0,3,1,
28,Abdul-Shakoor Rahimzei (GER),2019-2019,7,5,1,41,17,10.25,33,124.24,0,0,0,2,1,
29,Abdur Razzak (BDESH),2006-2014,34,20,10,41,9,4.10,74,55.4,0,0,5,1,0,
30,Ainool Hafizs (MAL),2019-2019,3,3,0,41,21,13.66,39,105.12,0,0,0,3,1,
31,A Ashokan (CZK-R),2019-2019,2,2,0,41,34,20.50,29,141.37,0,0,0,2,3,
32,K Jethi (CAN),2008-2008,5,5,1,41,24,10.25,59,69.49,0,0,1,0,2,
33,K Joshi (Aut),2019-2019,4,3,1,41,32*,20.50,41,100.0,0,0,0,4,2,
34,B Mavuta (ZIM),2018-2018,3,3,2,41,28,41.00,23,178.26,0,0,0,3,2,
35,D Muhumuza (UGA),2019-2019,4,4,0,41,28,10.25,36,113.88,0,0,1,3,1,
36,Murid Ekrami (Belg),2019-2019,3,2,0,41,28,20.50,48,85.41,0,0,0,2,0,
37,K Pala (PNG),2015-2015,2,2,1,41,22*,41.00,30,136.66,0,0,0,4,2,
38,Amir Hamza (AFG),2013-2017,31,9,5,40,21,10.00,38,105.26,0,0,1,3,1,
39,TS Chisoro (ZIM),2015-2018,12,6,2,40,14*,10.00,42,95.23,0,0,0,2,2,
40,BCJ Cutting (AUS/World),2013-2017,7,5,1,40,29,10.00,27,148.14,0,0,1,2,3,
41,Fitri Sham (MAL),2019-2019,15,10,4,40,15*,6.66,56,71.42,0,0,0,2,0,
42,Imran Bulbulia (PNM),2019-2019,3,3,0,40,32,13.33,42,95.23,0,0,1,4,1,
43,LA Musiani (Arg),2019-2019,5,5,1,40,22,10.00,60,66.66,0,0,1,4,0,
44,E Packard (GIBR),2019-2019,4,4,0,40,26,10.00,49,81.63,0,0,0,2,1,
45,S Ravikumar (CRC),2019-2019,3,3,1,40,29*,20.00,44,90.9,0,0,1,3,1,
46,Sahibzada Farhan (PAK),2018-2018,3,3,0,40,39,13.33,46,86.95,0,0,1,2,3,
47,F Stoman (PORT),2019-2019,4,4,1,40,21*,13.33,61,65.57,0,0,0,1,1,
48,Talha Khan (GER),2019-2019,1,1,1,40,40*,-,41,97.56,0,0,0,4,0,
49,Tariq Aziz (PORT),2019-2019,4,4,1,40,23,13.33,47,85.1,0,0,1,1,2,
0,KDK Vithanage (SL),2014-2016,3,3,0,40,38,13.33,34,117.64,0,0,0,7,0,
1,RR David (CAN),2008-2008,4,4,0,39,17,9.75,65,60.0,0,0,0,2,1,
2,Imran Khan (PORT),2019-2019,4,3,1,39,36,19.5,32,121.87,0,0,0,2,3,
3,Munir Dar (HKG),2014-2014,2,2,0,39,36,19.5,33,118.18,0,0,0,3,1,
4,Rafatullah Mohmand (PAK),2015-2015,3,3,0,39,23,13.0,45,86.66,0,0,1,4,0,
5,P Silas (Botsw),2019-2019,4,3,0,39,20,13.0,44,88.63,0,0,0,1,1,
6,S Tobgay (BHU),2019-2019,2,2,0,39,24,19.5,58,67.24,0,0,0,1,0,
7,PA van Meekeren (NL),2013-2019,41,9,1,39,18,4.87,40,97.5,0,0,3,0,3,
8,RI Ahmed (NL),2015-2015,2,2,0,38,25,19.0,50,76.0,0,0,0,2,0,
9,Ameer Saiyed (Botsw),2019-2019,4,3,0,38,22,12.66,47,80.85,0,0,0,4,0,
10,R Flannigan (SCOT),2012-2012,4,4,1,38,18,12.66,33,115.15,0,0,1,4,0,
11,D Kansonkho (MWI),2019-2019,7,4,0,38,21,9.5,47,80.85,0,0,2,5,0,
12,AK Kitchen (NZ),2017-2018,5,4,1,38,16,12.66,32,118.75,0,0,0,3,1,
13,BF Mailata (Samoa),2019-2019,4,4,0,38,17,9.5,48,79.16,0,0,0,2,1,
14,Mohammad Amin (KUW),2019-2019,4,4,2,38,15*,19.0,39,97.43,0,0,0,5,0,
15,D Mongia (INDIA),2006-2006,1,1,0,38,38,38.0,45,84.44,0,0,0,4,1,
16,F Mutizwa (ZIM),2011-2012,3,3,0,38,22,12.66,36,105.55,0,0,1,3,0,
17,H Pragji (Botsw),2019-2019,4,4,1,38,30*,12.66,65,58.46,0,0,0,1,0,
18,BJ Watling (NZ),2009-2014,5,4,0,38,22,9.5,58,65.51,0,0,0,3,0,
19,SJ Benn (WI),2008-2016,24,7,4,37,13*,12.33,42,88.09,0,0,1,5,1,
20,VD Chandra (PNM),2019-2019,3,2,0,37,26,18.5,30,123.33,0,0,0,3,3,
21,I Danladi (NGA),2019-2019,3,2,0,37,37,18.5,38,97.36,0,0,1,4,1,
22,CJ Delany (GIBR),2019-2019,4,4,0,37,21,9.25,60,61.66,0,0,1,2,0,
23,JS Foster (ENG),2009-2009,5,5,2,37,14*,12.33,32,115.62,0,0,0,0,1,
24,RM Hira (NZ),2012-2013,15,3,1,37,20*,18.5,33,112.12,0,0,0,4,1,
25,J Hirschi (MALTA),2019-2019,4,4,0,37,13,9.25,62,59.67,0,0,0,0,0,
26,AF Ifill (Caym),2019-2019,6,6,1,37,9,7.4,61,60.65,0,0,0,2,1,
27,R Kumar (ROM),2019-2019,4,3,1,37,32,18.5,27,137.03,0,0,0,6,0,
28,D Manani (ROM),2019-2019,2,2,1,37,19*,37.0,32,115.62,0,0,0,4,1,
29,S Sola (Samoa),2019-2019,4,3,0,37,18,12.33,36,102.77,0,0,0,1,3,
30,CA Soper (PNG),2015-2019,13,6,4,37,19,18.5,41,90.24,0,0,0,0,3,
31,BM Wheeler (NZ),2017-2018,6,4,2,37,30,18.5,28,132.14,0,0,0,3,2,
32,RJ Campbell (HKG),2016-2016,3,3,0,36,27,12.0,47,76.59,0,0,1,6,0,
33,TK Curran (ENG),2017-2019,15,6,4,36,14*,18.0,27,133.33,0,0,0,0,3,
34,J Dunn (VAN),2019-2019,4,3,0,36,23,12.0,41,87.8,0,0,0,0,1,
35,J Jojo (DEN),2019-2019,7,5,3,36,13,18.0,27,133.33,0,0,0,1,1,
36,TE Kane (IRE),2015-2019,7,3,1,36,26*,18.0,23,156.52,0,0,0,5,0,
37,Mohammed Qasim (UAE),2016-2017,3,3,1,36,13*,18.0,51,70.58,0,0,0,2,0,
38,Mohsin Hub (Peru),2019-2019,4,4,1,36,16*,12.0,41,87.8,0,0,1,2,0,
39,PA Patel (INDIA),2011-2011,2,2,0,36,26,18.0,32,112.5,0,0,0,4,1,
40,Abdul Shakoor (UAE),2015-2019,6,4,2,35,20*,17.5,40,87.5,0,0,0,3,0,
41,MP Biddappa (PHI),2019-2019,4,2,1,35,22*,35.0,47,74.46,0,0,0,1,1,
42,STR Binny (INDIA),2015-2016,3,2,0,35,24,17.5,29,120.68,0,0,0,2,1,
43,PJ Cummins (AUS),2011-2019,25,11,4,35,13,5.0,37,94.59,0,0,2,2,1,
44,SM Curran (ENG),2019-2019,5,3,0,35,24,11.66,23,152.17,0,0,0,3,2,
45,CD de Lange (SCOT),2015-2017,8,3,0,35,22,11.66,22,159.09,0,0,0,2,2,
46,L Hermida (Mex),2019-2019,5,5,2,35,12,11.66,52,67.3,0,0,0,1,0,
47,JN Malan (SA),2019-2019,2,2,0,35,33,17.5,37,94.59,0,0,0,3,2,
48,VV Morea (PNG),2015-2017,5,5,0,35,19,7.0,44,79.54,0,0,1,4,0,
49,D Murphy (SCOT),2013-2013,4,4,3,35,20,35.0,35,100.0,0,0,0,1,0,
0,Nazakat Ali (NOR),2019-2019,2,2,0,35,25,17.50,31,112.9,0,0,0,1,3,
1,Shuvagata Hom (BDESH),2016-2016,5,4,2,35,16*,17.50,35,100.0,0,0,0,3,1,
2,Sultan Ahmed (UAE),2017-2019,17,9,3,35,11,5.83,37,94.59,0,0,3,0,2,
3,DK Anefie (Ghana),2019-2019,4,4,2,34,18*,17.00,38,89.47,0,0,1,2,0,
4,Arafat Sunny (BDESH),2014-2016,10,6,3,34,10,11.33,30,113.33,0,0,0,3,1,
5,Hammad Azam (PAK),2012-2013,5,4,1,34,21,11.33,34,100.0,0,0,0,3,1,
6,Nadeem Ahmed (HKG),2014-2017,24,9,4,34,10,6.80,55,61.81,0,0,1,2,0,
7,JD Nel (SCOT),2007-2010,10,5,2,34,13*,11.33,25,136.0,0,0,1,3,1,
8,OL Pitcher (BMUDA),2008-2008,3,3,0,34,15,11.33,53,64.15,0,0,0,1,0,
9,S Rakshit (CZK-R),2019-2019,7,5,1,34,15,8.50,44,77.27,0,0,1,5,0,
10,Saqib Zulfiqar (NL),2018-2019,6,4,0,34,18,8.50,43,79.06,0,0,0,1,0,
11,JTS Sumerauer (JER),2019-2019,8,6,1,34,13,6.80,39,87.17,0,0,0,3,0,
12,W Viraliliu (VAN),2019-2019,10,7,3,34,13*,8.50,26,130.76,0,0,0,3,2,
13,PSP Handscomb (AUS),2019-2019,2,2,1,33,20*,33.00,33,100.0,0,0,0,1,0,
14,GO Jones (ENG),2005-2006,2,2,1,33,19,33.00,25,132.0,0,0,0,5,0,
15,FJ Klaassen (NL),2018-2019,21,7,1,33,13,5.50,34,97.05,0,0,1,2,0,
16,MF Maharoof (SL),2006-2016,8,5,1,33,13*,8.25,43,76.74,0,0,1,0,1,
17,CB Mpofu (ZIM),2008-2019,30,10,6,33,17*,8.25,40,82.5,0,0,3,3,1,
18,K Nestor (GIBR),2019-2019,4,4,1,33,16,11.00,35,94.28,0,0,0,1,2,
19,I Pandey (NEPAL),2019-2019,4,4,0,33,22,8.25,50,66.0,0,0,0,5,0,
20,RJMGM Rupasinghe (SL),2009-2009,2,2,0,33,18,16.50,39,84.61,0,0,0,2,0,
21,Simandeep Singh (HKG),2019-2019,7,7,2,33,14*,6.60,32,103.12,0,0,0,2,0,
22,WPUJC Vaas (SL),2006-2007,6,2,1,33,21,33.00,41,80.48,0,0,0,1,0,
23,AA Westphal (Mex),2019-2019,5,5,0,33,24,6.60,40,82.5,0,0,0,3,0,
24,Abdul Wahid (Saudi),2019-2019,5,3,1,32,17*,16.00,26,123.07,0,0,0,4,1,
25,KS Bagabena (Ghana),2019-2019,4,3,2,32,23*,32.00,32,100.0,0,0,1,1,0,
26,WD Balaji Rao (CAN),2008-2008,4,4,1,32,22*,10.66,30,106.66,0,0,1,1,2,
27,SE Findlay (WI),2008-2008,2,2,0,32,19,16.00,31,103.22,0,0,0,4,0,
28,TG Gordon (CAN),2012-2012,3,3,0,32,23,10.66,37,86.48,0,0,0,3,0,
29,LHB Harrington-Myers (Caym),2019-2019,4,4,1,32,17*,10.66,39,82.05,0,0,1,1,1,
30,Khizer Ahmed (NOR),2019-2019,5,4,2,32,18,16.00,47,68.08,0,0,0,1,0,
31,GA Lamb (ZIM),2010-2010,5,4,2,32,14*,16.00,54,59.25,0,0,1,1,0,
32,GH O'Brien (BMUDA),2008-2019,11,6,2,32,7*,8.00,38,84.21,0,0,1,1,2,
33,SNJ O'Keefe (AUS),2010-2011,7,5,0,32,22,6.40,26,123.07,0,0,0,4,1,
34,Shiraz Khan (KUW),2019-2019,6,5,1,32,16*,8.00,27,118.51,0,0,1,2,1,
35,KRP Silva (USA),2019-2019,2,2,0,32,25,16.00,12,266.66,0,0,0,2,3,
36,J Theron (SA),2010-2012,9,3,3,32,31*,-,21,152.38,0,0,0,3,1,
37,JC Tredwell (ENG),2012-2014,17,6,3,32,22,10.66,20,160.0,0,0,1,4,1,
38,TR Birt (AUS),2010-2012,4,3,0,31,17,10.33,33,93.93,0,0,0,3,1,
39,PVD Chameera (SL),2015-2018,19,10,6,31,12,7.75,40,77.5,0,0,2,3,0,
40,P Chandran (Mex),2019-2019,3,3,0,31,23,10.33,47,65.95,0,0,1,2,1,
41,R Dravid (INDIA),2011-2011,1,1,0,31,31,31.00,21,147.61,0,0,0,0,3,
42,V Ganesan (GER),2019-2019,4,4,0,31,15,7.75,42,73.8,0,0,0,0,0,
43,Jahurul Islam (BDESH),2010-2013,3,3,0,31,18,10.33,23,134.78,0,0,0,3,1,
44,Jasdeep Singh (USA),2019-2019,4,2,0,31,31,15.50,25,124.0,0,0,1,0,3,
45,AS Mehmi (),2019-2019,3,2,1,31,21*,31.00,29,106.89,0,0,0,2,1,
46,RG Mukasa (UGA),2019-2019,4,4,0,31,14,7.75,40,77.5,0,0,0,1,0,
47,PA Nixon (ENG),2007-2007,1,1,1,31,31*,-,22,140.9,0,0,0,2,1,
48,H Osinde (CAN),2008-2013,11,6,2,31,17,7.75,34,91.17,0,0,0,1,2,
49,VS Padhaal (Fin),2019-2019,5,5,0,31,14,6.20,44,70.45,0,0,0,4,0,
0,D Sheeli (KUW),2019-2019,3,3,0,31,19,10.33,32,96.87,0,0,0,3,0,
1,ACF Stokes (GUE),2019-2019,7,5,0,31,16,6.20,26,119.23,0,0,3,6,0,
2,Tafseer Ali (NOR),2019-2019,5,4,1,31,19,10.33,53,58.49,0,0,0,1,0,
3,Zubaidi Zulkifle (MAL),2019-2019,4,4,0,31,22,7.75,29,106.89,0,0,1,2,2,
4,D Cato (Caym),2019-2019,3,3,0,30,20,10.00,59,50.84,0,0,0,2,0,
5,WW Hinds (WI),2006-2010,5,5,1,30,14,7.50,41,73.17,0,0,1,3,0,
6,LC Le Tissier (GUE),2019-2019,9,7,2,30,9,6.00,29,103.44,0,0,0,2,0,
7,Mian Mehmood (PORT),2019-2019,4,4,0,29,13,7.25,41,70.73,0,0,1,1,1,
8,SH Obed (VAN),2019-2019,12,7,2,29,9,5.80,41,70.73,0,0,0,1,0,
9,S Rossi (Arg),2019-2019,5,4,1,29,13,9.66,27,107.4,0,0,0,2,1,
10,J Salazar (Peru),2019-2019,2,2,1,29,20*,29.00,36,80.55,0,0,0,0,0,
11,Taskin Ahmed (BDESH),2014-2018,19,6,3,29,15*,9.66,31,93.54,0,0,1,3,1,
12,DT Tiripano (ZIM),2016-2019,10,6,2,29,14,7.25,34,85.29,0,0,2,0,2,
13,C Zavoiu (ROM),2019-2019,3,2,0,29,27,14.50,39,74.35,0,0,0,3,0,
14,Ahsan Malik (NL),2012-2017,31,8,5,28,11*,9.33,30,93.33,0,0,1,1,1,
15,KK Ahuja (Mex),2019-2019,8,7,0,28,8,4.00,50,56.0,0,0,1,1,1,
16,Amjad Khan (UAE),2015-2016,4,3,0,28,24,9.33,30,93.33,0,0,0,3,1,
17,EJB Miles (JER),2019-2019,14,4,2,28,16,14.00,31,90.32,0,0,0,1,0,
18,A Nehra (INDIA),2009-2017,27,5,0,28,22,5.60,39,71.79,0,0,3,1,2,
19,PJ Ongondo (KENYA),2007-2008,8,6,0,28,16,4.66,23,121.73,0,0,2,1,2,
20,CW Perchard (JER),2019-2019,15,5,2,28,12,9.33,35,80.0,0,0,0,0,0,
21,R Pillai (GER),2019-2019,6,5,1,28,14,7.00,44,63.63,0,0,1,1,0,
22,Sharafuddin Ashraf (AFG),2015-2019,8,4,1,28,18,9.33,29,96.55,0,0,0,1,1,
23,Ahmed Wardak (GER),2019-2019,9,4,2,27,20*,13.50,38,71.05,0,0,0,1,0,
24,TP Allen (USA),2019-2019,5,3,1,27,11*,13.50,17,158.82,0,0,0,0,3,
25,G Bakiweyem (Ghana),2019-2019,3,2,1,27,15*,27.00,30,90.0,0,0,0,0,0,
26,TC Barker (LUX),2019-2019,4,4,0,27,18,6.75,33,81.81,0,0,0,1,0,
27,NE Bonner (WI),2011-2012,2,2,0,27,24,13.50,38,71.05,0,0,0,2,0,
28,DT Christian (AUS),2010-2017,16,7,3,27,9,6.75,28,96.42,0,0,1,2,0,
29,RM Dorji (BHU),2019-2019,1,1,0,27,27,27.00,23,117.39,0,0,0,0,4,
30,H Fennell (Arg),2019-2019,5,5,2,27,25*,9.00,23,117.39,0,0,3,4,1,
31,S Hongsi (THAI),2019-2019,3,3,3,27,11*,-,16,168.75,0,0,0,3,1,
32,Mohammad Iqbal (CAN),2008-2008,3,3,0,27,22,9.00,39,69.23,0,0,0,1,0,
33,Nadif Chowdhury (BDESH),2006-2007,3,3,0,27,12,9.00,23,117.39,0,0,0,2,0,
34,SS Pathirana (SL),2016-2017,5,5,0,27,14,5.40,24,112.5,0,0,0,3,0,
35,Shapoor Zadran (AFG),2010-2018,34,13,6,27,13,3.85,65,41.53,0,0,3,0,3,
36,Shoaib Qureshi (Fin),2019-2019,5,4,0,27,12,6.75,34,79.41,0,0,1,2,0,
37,MP Vaughan (ENG),2005-2007,2,2,0,27,27,13.50,22,122.72,0,0,1,4,0,
38,Waqas Ali (Belg),2019-2019,2,2,0,27,14,13.50,31,87.09,0,0,0,0,2,
39,Zulfiqar Babar (PAK),2013-2014,7,3,3,27,13*,-,27,100.0,0,0,0,2,1,
40,Arsalan Arif (Aut),2019-2019,2,1,1,26,26*,-,11,236.36,0,0,0,5,0,
41,TB de Bruyn (SA),2017-2017,2,2,0,26,19,13.00,16,162.5,0,0,0,3,1,
42,D Ganga (WI),2006-2006,1,1,0,26,26,26.00,31,83.87,0,0,0,3,1,
43,R Goodwin (PHI),2019-2019,4,4,1,26,16*,8.66,36,72.22,0,0,1,1,0,
44,Izatullah Dawlatzai (AFG/GER),2012-2019,14,3,2,26,24*,26.00,16,162.5,0,0,0,2,2,
45,G Kansonkho (MWI),2019-2019,6,3,1,26,22,13.00,21,123.8,0,0,1,4,0,
46,TJ Murtagh (IRE),2012-2016,14,5,3,26,12*,13.00,25,104.0,0,0,0,0,1,
47,LN Oluoch (KENYA),2013-2019,10,6,3,26,7*,8.66,33,78.78,0,0,0,2,0,
48,E Otieno (KENYA),2012-2019,18,8,3,26,8,5.20,48,54.16,0,0,1,0,1,
49,TK Saha (Fin),2019-2019,4,4,3,26,18*,26.00,23,113.04,0,0,0,1,0,
0,Washington Sundar (INDIA),2017-2019,18,5,3,26,14*,13.00,12,216.66,0,0,1,1,3,
1,C Wright (Caym),2019-2019,6,5,2,26,16*,8.66,31,83.87,0,0,1,2,0,
2,P Agnihotri (NOR),2019-2019,2,2,0,25,19,12.50,36,69.44,0,0,0,2,0,
3,Asrar Ahmed (),2019-2019,3,1,0,25,25,25.00,27,92.59,0,0,0,2,0,
4,RA Bhatti (CAN),2012-2012,4,4,1,25,11*,8.33,37,67.56,0,0,1,1,0,
5,AM Ellis (NZ),2012-2013,5,5,2,25,16,8.33,21,119.04,0,0,0,1,1,
6,CRD Fernando (SL),2006-2016,18,7,2,25,21,5.00,27,92.59,0,0,2,4,0,
7,G Goudie (SCOT),2010-2013,9,6,2,25,9*,6.25,20,125.0,0,0,0,2,1,
8,T Jamtsho (BHU),2019-2019,2,2,1,25,19,25.00,27,92.59,0,0,0,1,1,
9,JH Kiani (PHI),2019-2019,4,3,1,25,13,12.50,36,69.44,0,0,0,2,0,
10,RK Kleinveldt (SA),2008-2013,6,3,2,25,22,25.00,10,250.0,0,0,0,1,3,
11,WP Masakadza (ZIM),2015-2019,12,6,3,25,6*,8.33,30,83.33,0,0,0,2,0,
12,G Murali (CRC),2019-2019,3,3,0,25,14,8.33,44,56.81,0,0,0,1,0,
13,PM Nevill (AUS),2016-2016,9,5,4,25,10*,25.00,11,227.27,0,0,0,1,2,
14,SA Okpe (NGA),2019-2019,8,6,1,25,12,5.00,46,54.34,0,0,0,1,0,
15,C Pengkumta (THAI),2019-2019,4,3,2,25,18,25.00,31,80.64,0,0,0,2,0,
16,Raza-ur-Rehman (CAN),2012-2013,5,4,0,25,10,6.25,29,86.2,0,0,0,3,0,
17,Shahbaz Badar (BAH),2019-2019,3,3,0,25,16,8.33,32,78.12,0,0,1,3,0,
18,Shahriar Nafees (BDESH),2006-2006,1,1,0,25,25,25.00,17,147.05,0,0,0,3,1,
19,Sidhant Singh (SGP),2019-2019,8,6,2,25,12,6.25,26,96.15,0,0,1,1,1,
20,A Srivastav (Chile),2019-2019,4,4,0,25,21,6.25,37,67.56,0,0,2,2,0,
21,Tahir Dar (BAH),2019-2019,4,2,0,25,15,12.50,25,100.0,0,0,0,1,2,
22,Vinod Kumar (ESP),2019-2019,3,3,1,25,17,12.50,30,83.33,0,0,0,3,0,
23,Adil Hanif (BAH),2019-2019,4,2,0,24,16,12.00,23,104.34,0,0,0,3,0,
24,Azyan Farhath (Mald),2019-2019,2,2,1,24,22*,24.00,22,109.09,0,0,0,2,0,
25,MO Bacarese (GIBR),2019-2019,3,2,0,24,13,12.00,37,64.86,0,0,0,0,1,
26,OO Bascome (BMUDA),2008-2019,3,3,0,24,16,8.00,29,82.75,0,0,0,3,0,
27,Bilal Tahir (KUW),2019-2019,4,4,0,24,13,6.00,21,114.28,0,0,1,1,1,
28,JW Dernbach (ENG),2011-2014,34,7,2,24,12,4.80,21,114.28,0,0,1,3,0,
29,Fareed Ahmad (AFG),2016-2019,14,1,1,24,24*,-,15,160.0,0,0,0,4,0,
30,JN Gillespie (AUS),2005-2005,1,1,0,24,24,24.00,18,133.33,0,0,0,4,0,
