,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 14
8,Z Hoque (THAI),2019-2019,3,3,12.0,0,51,3,1/13,17.0,4.25,24.0,0,0,
9,JJ Huo (Moz),2019-2019,7,3,10.0,0,56,3,3/14,18.66,5.6,20.0,0,0,
10,Ijaz Hussain (ROM),2019-2019,3,3,9.5,0,89,3,2/19,29.66,9.05,19.6,0,0,
11,D Jakiel (ZIM),2019-2019,2,2,7.0,0,44,3,2/27,14.66,6.28,14.0,0,0,
12,GSNFG Jayasuriya (SL),2015-2019,16,10,21.5,0,202,3,1/11,67.33,9.25,43.6,0,0,
13,Kaleemullah (OMAN),2017-2019,6,6,19.0,1,132,3,2/23,44.0,6.94,38.0,0,0,
14,Kaleem Shah (Moz),2019-2019,7,6,17.0,0,130,3,2/24,43.33,7.64,34.0,0,0,
15,E Katchay (CAN),2008-2008,4,4,10.0,0,71,3,1/18,23.66,7.1,20.0,0,0,
16,SKW Kelly (BMUDA),2008-2008,3,3,7.0,0,50,3,2/18,16.66,7.14,14.0,0,0,
17,P Kerai (KENYA),2019-2019,6,5,11.0,0,82,3,3/15,27.33,7.45,22.0,0,0,
18,J Kila (PNG),2019-2019,12,9,17.0,0,99,3,1/5,33.0,5.82,34.0,0,0,
19,AC Kose (TKY),2019-2019,4,2,8.0,0,116,3,2/62,38.66,14.5,16.0,0,0,
20,DS Kulkarni (INDIA),2016-2016,2,2,8.0,0,55,3,2/23,18.33,6.87,16.0,0,0,
21,CBRLS Kumara (SL),2019-2019,3,3,12.0,0,97,3,2/24,32.33,8.08,24.0,0,0,
22,UKPW Kumaranayaka (KUW),2019-2019,3,3,12.0,0,102,3,2/26,34.0,8.5,24.0,0,0,
23,NCK Liyanage (MAL),2019-2019,6,5,14.0,0,100,3,1/19,33.33,7.14,28.0,0,0,
24,DL Maddy (ENG),2007-2007,4,2,3.0,0,26,3,2/6,8.66,8.66,6.0,0,0,
25,S Mahmood (ENG),2019-2019,3,3,10.0,0,115,3,1/20,38.33,11.5,20.0,0,0,
26,SI Mahmood (ENG),2006-2009,4,4,14.0,0,155,3,1/31,51.66,11.07,28.0,0,0,
27,MSS Mandy (Chile),2019-2019,4,3,8.0,0,43,3,2/19,14.33,5.37,16.0,0,0,
28,Mansoor Amjad (PAK),2008-2008,1,1,1.0,0,3,3,3/3,1.0,3.0,2.0,0,0,
29,TS Mills (ENG/ICC),2016-2018,5,5,19.0,1,129,3,1/27,43.0,6.78,38.0,0,0,
30,T Mishra (KENYA),2007-2013,15,2,5.0,0,33,3,3/25,11.0,6.6,10.0,0,0,
31,K Modise (Botsw),2019-2019,3,2,5.0,0,41,3,3/18,13.66,8.2,10.0,0,0,
32,Mohammad Ghazanfar (HKG),2019-2019,5,5,14.0,0,85,3,2/11,28.33,6.07,28.0,0,0,
33,Mohammad Hasnain (PAK),2019-2019,4,4,16.0,0,137,3,3/37,45.66,8.56,32.0,0,0,
34,Mohammed Siraj (INDIA),2017-2018,3,3,12.0,0,148,3,1/45,49.33,12.33,24.0,0,0,
35,Musa Shaheen (DEN),2019-2019,1,1,2.2,0,11,3,3/11,3.66,4.71,4.6,0,0,
36,Naeem Islam (BDESH),2008-2013,10,6,15.0,0,122,3,2/32,40.66,8.13,30.0,0,0,
37,A Nathwani (Aut),2019-2019,5,4,10.0,0,79,3,1/9,26.33,7.9,20.0,0,0,
38,MP O'Dowd (NL),2015-2019,36,9,12.4,0,119,3,1/7,39.66,9.39,25.3,0,0,
39,HC Overdijk (NL),2018-2019,4,3,8.0,0,72,3,2/23,24.0,9.0,16.0,0,0,
40,SD Parry (ENG),2014-2015,5,5,16.0,0,138,3,2/33,46.0,8.62,32.0,0,0,
41,JL Pattinson (AUS),2011-2012,4,4,13.0,0,104,3,2/17,34.66,8.0,26.0,0,0,
42,MDK Perera (SL),2011-2011,3,3,10.0,0,72,3,3/26,24.0,7.2,20.0,0,0,
43,J Perman (ESP),2019-2019,2,2,8.0,0,41,3,2/18,13.66,5.12,16.0,0,0,
44,R Pisal (ROM),2019-2019,1,1,3.0,0,4,3,3/4,1.33,1.33,6.0,0,0,
45,D Pretorius (SA),2017-2019,6,6,14.0,0,116,3,1/12,38.66,8.28,28.0,0,0,
46,P Raho (PNG),2016-2016,2,2,3.0,0,20,3,3/11,6.66,6.66,6.0,0,0,
47,Raja Adeel (ESP),2019-2019,3,3,11.0,0,36,3,2/15,12.0,3.27,22.0,0,0,
48,RJ Ranpura (OMAN),2015-2016,3,2,6.0,0,32,3,2/17,10.66,5.33,12.0,0,0,
49,KB Ratilal (PNM),2019-2019,3,3,12.0,0,61,3,2/18,20.33,5.08,24.0,0,0,
0,WJR Robertson (JER),2019-2019,6,6,18.1,1,101,3,1/7,33.66,5.55,36.3,0,0,
1,M Sert (TKY),2019-2019,4,4,10.0,0,93,3,2/38,31.0,9.3,20.0,0,0,
2,A Shahzad (ENG),2010-2011,3,3,11.0,0,97,3,2/38,32.33,8.81,22.0,0,0,
3,R Sharma (INDIA),2012-2012,2,2,7.2,0,56,3,2/29,18.66,7.63,14.6,0,0,
4,Shiraz Khan (KUW),2019-2019,6,6,20.0,0,140,3,2/35,46.66,7.0,40.0,0,0,
5,Shoaib Ali (Saudi),2019-2019,5,5,15.3,0,129,3,2/25,43.0,8.32,31.0,0,0,
6,DJM Short (AUS),2018-2019,20,9,19.0,0,151,3,1/13,50.33,7.94,38.0,0,0,
7,PM Siddle (AUS),2009-2010,2,2,8.0,0,58,3,2/24,19.33,7.25,16.0,0,0,
8,Sikander Zulfiqar (NL),2016-2019,11,7,10.0,0,79,3,1/9,26.33,7.9,20.0,0,0,
9,KM Silva (),2019-2019,3,2,3.0,0,18,3,2/1,6.0,6.0,6.0,0,0,
10,M Simpson-Parker (Aut),2019-2019,3,3,5.0,0,40,3,2/6,13.33,8.0,10.0,0,0,
11,S Singh (PHI),2019-2019,4,4,11.0,0,110,3,3/32,36.66,10.0,22.0,0,0,
12,DC Smith (PHI),2019-2019,4,4,11.0,0,89,3,1/8,29.66,8.09,22.0,0,0,
13,A Srivastav (Chile),2019-2019,4,3,8.0,0,73,3,2/28,24.33,9.12,16.0,0,0,
14,H Ssenyondo (UGA),2019-2019,4,3,10.0,0,48,3,3/14,16.0,4.8,20.0,0,0,
15,JH Stander (SCOT),2009-2012,11,7,13.3,0,156,3,2/24,52.0,11.55,27.0,0,0,
16,Suhail Sadiq (LUX),2019-2019,2,2,6.0,0,45,3,2/13,15.0,7.5,12.0,0,0,
17,Syazrul Idrus (MAL),2019-2019,2,2,7.0,0,64,3,2/31,21.33,9.14,14.0,0,0,
18,Tahir Dar (BAH),2019-2019,4,4,14.0,0,128,3,2/31,42.66,9.14,28.0,0,0,
19,Tanveer Ahmed (HKG),2016-2017,5,5,13.3,0,116,3,2/29,38.66,8.59,27.0,0,0,
20,SR Taylor (USA),2019-2019,8,5,13.0,1,70,3,2/10,23.33,5.38,26.0,0,0,
21,AC Thomas (SA),2007-2007,1,1,4.0,0,25,3,3/25,8.33,6.25,8.0,0,0,
22,SF Tiai (Samoa),2019-2019,4,4,11.0,0,82,3,2/16,27.33,7.45,22.0,0,0,
23,BM Tickner (NZ),2019-2019,3,3,12.0,0,109,3,2/25,36.33,9.08,24.0,0,0,
24,DR Tuffey (NZ),2005-2010,3,3,10.0,0,93,3,2/16,31.0,9.3,20.0,0,0,
25,AJ Turner (AUS),2017-2019,11,3,6.0,0,42,3,2/12,14.0,7.0,12.0,0,0,
26,MB van Schelven (NL),2015-2015,2,2,7.0,0,30,3,2/22,10.0,4.28,14.0,0,0,
27,Vichanath Singh (THAI),2019-2019,4,4,16.0,1,90,3,1/15,30.0,5.62,32.0,0,0,
28,Virandeep Singh (MAL),2019-2019,12,8,17.2,0,135,3,2/15,45.0,7.78,34.6,0,0,
29,RR Watson (SCOT),2007-2010,10,5,10.0,0,92,3,1/4,30.66,9.2,20.0,0,0,
30,RM West (IRE),2009-2009,5,5,19.0,0,142,3,1/23,47.33,7.47,38.0,0,0,
31,SG Whittingham (SCOT),2018-2018,3,3,10.0,0,79,3,2/33,26.33,7.9,20.0,0,0,
32,S Wickramasekara (CZK-R),2019-2019,5,5,15.3,1,93,3,2/2,31.0,6.0,31.0,0,0,
33,Younis Khan (PAK),2006-2010,25,1,3.4,0,18,3,3/18,6.0,4.9,7.3,0,0,
34,Zahid Hussain (CAN),2012-2012,3,3,9.3,0,47,3,3/16,15.66,4.94,19.0,0,0,
35,Zaki Ul Hassan (Belg),2019-2019,3,3,9.0,0,56,3,1/12,18.66,6.22,18.0,0,0,
36,C Zavoiu (ROM),2019-2019,3,1,1.0,0,4,3,3/4,1.33,4.0,2.0,0,0,
37,Ziaur Rahman (BDESH),2012-2014,14,7,12.3,0,127,3,1/16,42.33,10.16,25.0,0,0,
38,Zulqarnain Haider (ESP),2019-2019,5,5,13.0,0,60,3,1/7,20.0,4.61,26.0,0,0,
39,Aamer Yamin (PAK),2015-2018,2,2,6.0,0,37,2,1/12,18.5,6.16,18.0,0,0,
40,Aaron Jones (USA),2019-2019,8,3,7.0,0,28,2,1/6,14.0,4.0,21.0,0,0,
41,YA Abdulla (SA),2009-2009,2,2,7.0,0,44,2,1/16,22.0,6.28,21.0,0,0,
42,AG Achar (SGP),2019-2019,3,3,6.0,0,44,2,1/9,22.0,7.33,18.0,0,0,
43,Ahmed Hassan (Mald),2019-2019,11,5,7.3,0,81,2,1/8,40.5,10.8,22.5,0,0,
44,Ali Naqi (PORT),2019-2019,4,4,10.0,0,65,2,2/20,32.5,6.5,30.0,0,0,
45,Alok Kapali (BDESH),2007-2011,7,2,5.0,0,35,2,2/12,17.5,7.0,15.0,0,0,
46,Anique Uddin (DEN),2019-2019,6,2,2.3,0,14,2,2/12,7.0,5.6,7.5,0,0,
47,DNA Ankrah (Ghana),2019-2019,4,4,12.0,1,85,2,1/21,42.5,7.08,36.0,0,0,
48,Apon Mustafizur (Serb),2019-2019,2,1,3.0,0,30,2,2/30,15.0,10.0,9.0,0,0,
49,Aqib Ilyas (OMAN),2015-2019,22,4,9.0,0,59,2,1/9,29.5,6.55,27.0,0,0,
0,S Arachchige (ITA),2019-2019,4,4,6.0,0,42,2,2/15,21.0,7.0,18.0,0,0,
1,JC Archer (ENG),2019-2019,1,1,4.0,0,29,2,2/29,14.5,7.25,12.0,0,0,
2,Ashfaq Ahmed (UAE),2018-2019,12,2,6.0,0,34,2,1/14,17.0,5.66,18.0,0,0,
3,Atif Kamal (LUX),2019-2019,4,4,14.0,0,90,2,2/5,45.0,6.42,42.0,0,0,
4,Aziz Mohammad (Belg),2019-2019,3,3,12.0,0,84,2,1/18,42.0,7.0,36.0,0,0,
5,MO Bacarese (GIBR),2019-2019,3,3,12.0,0,51,2,1/15,25.5,4.25,36.0,0,0,
6,LS Baker (WI),2008-2009,3,3,8.0,0,58,2,1/12,29.0,7.25,24.0,0,0,
7,JT Ball (ENG),2018-2018,2,2,7.0,0,83,2,1/39,41.5,11.85,21.0,0,0,
8,GG Banner (Blz),2019-2019,3,1,3.3,0,10,2,2/10,5.0,2.85,10.5,0,0,
9,W Barresi (NL),2012-2019,42,3,5.4,0,49,2,1/3,24.5,8.64,17.0,0,0,
10,RJ Campbell (HKG),2016-2016,3,3,10.0,0,68,2,2/28,34.0,6.8,30.0,0,0,
11,P Chandran (Mex),2019-2019,3,2,4.0,0,45,2,1/22,22.5,11.25,12.0,0,0,
12,FA Cossa (Moz),2019-2019,6,5,14.0,0,110,2,1/24,55.0,7.85,42.0,0,0,
13,KM Dabengwa (ZIM),2006-2010,8,7,11.0,0,106,2,1/1,53.0,9.63,33.0,0,0,
14,DK Dahyabhai Ahir (PNM),2019-2019,2,2,3.0,0,27,2,2/11,13.5,9.0,9.0,0,0,
15,JWM Dalrymple (ENG),2006-2007,3,3,5.0,0,39,2,1/10,19.5,7.8,15.0,0,0,
16,Dawlat Ahmadzai (AFG),2010-2010,2,2,4.0,0,46,2,1/21,23.0,11.5,12.0,0,0,
17,AS Dean (CAN),2008-2013,2,2,4.0,0,32,2,2/18,16.0,8.0,12.0,0,0,
18,AP Devcich (NZ),2013-2014,4,4,12.0,0,80,2,2/16,40.0,6.66,36.0,0,0,
19,LHD Dilhara (SL),2008-2008,2,2,5.0,0,30,2,2/6,15.0,6.0,15.0,0,0,
20,N Dipakkumar Patel (PNM),2019-2019,3,3,10.0,0,42,2,2/17,21.0,4.2,30.0,0,0,
21,K Dorji (BHU),2019-2019,2,2,7.0,0,69,2,2/45,34.5,9.85,21.0,0,0,
22,Ehsan Nawaz (HKG),2014-2017,5,5,7.4,0,79,2,1/22,39.5,10.3,23.0,0,0,
23,AM Ellis (NZ),2012-2013,5,4,10.0,0,105,2,2/40,52.5,10.5,30.0,0,0,
24,Fakhrul Mohon (PORT),2019-2019,4,4,14.0,2,85,2,1/21,42.5,6.07,42.0,0,0,
25,V Ganesan (GER),2019-2019,4,4,9.0,1,44,2,1/10,22.0,4.88,27.0,0,0,
26,B Geeves (AUS),2009-2009,1,1,3.2,0,35,2,2/35,17.5,10.5,10.0,0,0,
27,D Gim (NGA),2019-2019,6,4,6.0,0,65,2,1/18,32.5,10.83,18.0,0,0,
28,Hafez Farooq (Peru),2019-2019,4,1,2.0,0,14,2,2/14,7.0,7.0,6.0,0,0,
29,LHB Harrington-Myers (Caym),2019-2019,4,2,4.0,0,26,2,2/13,13.0,6.5,12.0,0,0,
30,NM Hauritz (AUS),2009-2009,3,2,7.2,0,47,2,1/20,23.5,6.4,22.0,0,0,
31,PA Hitchcock (NZ),2008-2008,1,1,3.0,0,43,2,2/43,21.5,14.33,9.0,0,0,
32,Imran Ashraf (QAT),2019-2019,3,3,9.0,0,78,2,2/23,39.0,8.66,27.0,0,0,
33,Imran Khan (1) (PAK),2015-2015,3,3,12.0,0,106,2,2/35,53.0,8.83,36.0,0,0,
34,MM Iqbal (SCOT),2012-2013,6,3,8.0,0,59,2,2/15,29.5,7.37,24.0,0,0,
35,J Jojo (DEN),2019-2019,7,5,17.0,0,98,2,2/25,49.0,5.76,51.0,0,0,
36,Jubair Hossain (BDESH),2015-2015,1,1,2.0,0,20,2,2/20,10.0,10.0,6.0,0,0,
37,Junaid Sheikh (NOR),2019-2019,5,5,16.0,1,104,2,1/21,52.0,6.5,48.0,0,0,
38,Kamran Shazad (UAE),2014-2014,3,3,8.4,0,77,2,2/19,38.5,8.88,26.0,0,0,
39,D Kegasitswe (Botsw),2019-2019,4,3,12.0,0,156,2,1/43,78.0,13.0,36.0,0,0,
40,A Khan (ENG),2009-2009,1,1,4.0,0,34,2,2/34,17.0,8.5,12.0,0,0,
41,AK Kitchen (NZ),2017-2018,5,3,6.0,0,46,2,1/3,23.0,7.66,18.0,0,0,
42,Kuldeep Lal (ESP),2019-2019,8,4,9.0,0,100,2,2/33,50.0,11.11,27.0,0,0,
43,B Laughlin (AUS),2009-2013,3,3,11.5,0,118,2,1/32,59.0,9.97,35.5,0,0,
44,KS Lokuarachchi (SL),2012-2012,2,2,6.0,0,48,2,2/31,24.0,8.0,18.0,0,0,
45,J Louw (SA),2008-2009,2,2,7.0,0,54,2,2/36,27.0,7.71,21.0,0,0,
46,Lucky Ali (DEN),2019-2019,2,2,7.0,1,40,2,1/19,20.0,5.71,21.0,0,0,
47,AJ McKay (NZ),2010-2010,2,2,5.4,0,31,2,2/20,15.5,5.47,17.0,0,0,
48,DSK Madushanka (SL),2018-2018,2,2,5.1,0,62,2,2/23,31.0,12.0,15.5,0,0,
49,R Mahajan (PHI),2019-2019,3,3,10.0,0,93,2,1/18,46.5,9.3,30.0,0,0,
0,GI Maiden (SCOT),2008-2008,3,3,10.0,0,58,2,1/20,29.0,5.8,30.0,0,0,
1,GT Main (SCOT),2015-2016,4,2,4.0,0,34,2,1/13,17.0,8.5,12.0,0,0,
2,P Manning (Caym),2019-2019,6,4,8.0,0,53,2,2/3,26.5,6.62,24.0,0,0,
3,B Masaba (UGA),2019-2019,1,1,4.0,0,14,2,2/14,7.0,3.5,12.0,0,0,
4,H Masakadza (ZIM),2006-2019,66,9,12.0,0,113,2,1/4,56.5,9.41,36.0,0,0,
5,MJ Mason (NZ),2006-2008,3,3,9.0,0,65,2,1/18,32.5,7.22,27.0,0,0,
6,B Mavuta (ZIM),2018-2018,3,3,12.0,0,81,2,1/19,40.5,6.75,36.0,0,0,
7,Z McLaughlin (Caym),2019-2019,3,3,7.1,0,54,2,2/30,27.0,7.53,21.5,0,0,
8,SC Meaker (ENG),2012-2012,2,2,7.5,0,70,2,1/28,35.0,8.93,23.5,0,0,
9,Mohameed Taiwo (NGA),2019-2019,2,2,8.0,0,41,2,1/16,20.5,5.12,24.0,0,0,
10,Mohammad Adnan (Saudi),2019-2019,5,5,17.0,0,120,2,1/27,60.0,7.05,51.0,0,0,
11,Mohsin Hub (Peru),2019-2019,4,3,9.0,0,39,2,1/14,19.5,4.33,27.0,0,0,
12,Muhammad Rafique (BAH),2019-2019,2,2,5.0,0,63,2,1/31,31.5,12.6,15.0,0,0,
13,S Murari (CRC),2019-2019,3,3,10.0,0,52,2,1/10,26.0,5.2,30.0,0,0,
14,LA Musiani (Arg),2019-2019,5,4,15.0,1,69,2,1/16,34.5,4.6,45.0,0,0,
15,M Nasim Baras (AFG),2015-2015,3,3,8.0,0,56,2,1/11,28.0,7.0,24.0,0,0,
16,A Nel (SA),2005-2007,2,2,8.0,0,42,2,2/19,21.0,5.25,24.0,0,0,
17,R Ngarava (ZIM),2019-2019,1,1,4.0,0,48,2,2/48,24.0,12.0,12.0,0,0,
18,F Nsubuga (UGA),2019-2019,3,3,8.0,0,46,2,2/19,23.0,5.75,24.0,0,0,
19,L Nussbaumer (GUE),2019-2019,1,1,4.0,0,44,2,2/44,22.0,11.0,12.0,0,0,
20,E Packard (GIBR),2019-2019,4,4,11.0,0,79,2,1/8,39.5,7.18,33.0,0,0,
21,MS Panesar (ENG),2007-2007,1,1,4.0,0,40,2,2/40,20.0,10.0,12.0,0,0,
22,NMS Param (SGP),2019-2019,8,3,8.0,0,55,2,2/24,27.5,6.87,24.0,0,0,
23,HH Patel (MWI),2019-2019,7,5,13.0,0,104,2,2/13,52.0,8.0,39.0,0,0,
24,H Patel (CAN),2010-2013,11,5,9.5,0,83,2,2/23,41.5,8.44,29.5,0,0,
25,N Pathan (THAI),2019-2019,4,4,6.0,0,60,2,1/11,30.0,10.0,18.0,0,0,
26,DBL Powell (WI),2007-2007,5,5,17.0,0,131,2,1/6,65.5,7.7,51.0,0,0,
27,R Powell (WI),2017-2019,23,4,8.0,0,74,2,1/20,37.0,9.25,24.0,0,0,
28,A Pusthay (Fin),2019-2019,5,4,10.0,0,90,2,2/26,45.0,9.0,30.0,0,0,
29,S Rakshit (CZK-R),2019-2019,7,5,12.5,0,99,2,1/11,49.5,7.71,38.5,0,0,
30,S Ravikumar (CRC),2019-2019,3,3,6.2,0,56,2,1/12,28.0,8.84,19.0,0,0,
31,Raza-ur-Rehman (CAN),2012-2013,5,3,9.0,0,58,2,2/16,29.0,6.44,27.0,0,0,
32,AJ Redmond (NZ),2009-2010,7,1,2.5,0,24,2,2/24,12.0,8.47,8.5,0,0,
33,GA Rogers (SCOT),2008-2009,2,2,7.5,0,67,2,2/15,33.5,8.55,23.5,0,0,
34,IH Romaine (BMUDA),2008-2008,2,2,3.4,0,21,2,2/2,10.5,5.72,11.0,0,0,
35,SI Runsewe (NGA),2019-2019,6,2,2.3,0,23,2,1/4,11.5,9.2,7.5,0,0,
36,JD Ryder (NZ),2008-2014,22,5,10.0,0,68,2,1/2,34.0,6.8,30.0,0,0,
37,Sadeeq Khan (ROM),2019-2019,3,3,12.0,0,63,2,1/21,31.5,5.25,36.0,0,0,
38,TK Saha (Fin),2019-2019,4,4,10.0,0,88,2,1/22,44.0,8.8,30.0,0,0,
39,Sajid Liaqat (GER),2019-2019,2,2,8.0,0,72,2,1/30,36.0,9.0,24.0,0,0,
40,Sandeep Goud (OMAN),2019-2019,12,2,6.0,0,48,2,2/36,24.0,8.0,18.0,0,0,
41,Saqib Zulfiqar (NL),2018-2019,6,4,9.0,0,61,2,1/4,30.5,6.77,27.0,0,0,
42,Saqlain Ali (Belg),2019-2019,2,2,7.0,0,36,2,1/12,18.0,5.14,21.0,0,0,
43,Sarfaraz Ali (BAH),2019-2019,4,3,8.0,0,60,2,2/20,30.0,7.5,24.0,0,0,
44,P Sarraf (NEPAL),2019-2019,9,6,11.0,1,58,2,1/3,29.0,5.27,33.0,0,0,
45,RR Sarwan (WI),2007-2010,18,1,2.0,0,10,2,2/10,5.0,5.0,6.0,0,0,
46,Shaffeq Muhammad (),2019-2019,2,2,7.0,1,21,2,2/12,10.5,3.0,21.0,0,0,
47,Sharif Asadullah (UAE),2014-2014,1,1,3.0,0,21,2,2/21,10.5,7.0,9.0,0,0,
48,Shuvagata Hom (BDESH),2016-2016,5,4,11.0,0,71,2,1/18,35.5,6.45,33.0,0,0,
49,EHSN Silva (UAE),2014-2014,2,2,7.0,0,58,2,1/20,29.0,8.28,21.0,0,0,
0,LA Simango (Moz),2019-2019,3,3,6.1,0,55,2,2/20,27.5,8.91,18.5,0,0,
1,OF Smith (WI),2018-2018,2,2,7.0,0,78,2,1/38,39.0,11.14,21.0,0,0,
2,CB Sole (SCOT),2017-2018,4,4,16.0,0,141,2,2/38,70.5,8.81,48.0,0,0,
3,AL Stephen (VAN),2019-2019,2,2,7.0,0,29,2,2/15,14.5,4.14,21.0,0,0,
4,MJ Swepson (AUS),2018-2018,1,1,4.0,0,37,2,2/37,18.5,9.25,12.0,0,0,
5,T Taylor (Caym),2019-2019,6,4,9.0,0,74,2,1/17,37.0,8.22,27.0,0,0,
6,R Telemachus (SA),2006-2007,3,3,12.0,0,90,2,1/22,45.0,7.5,36.0,0,0,
7,S Thuraisingam (CAN),2008-2008,3,3,7.5,0,44,2,1/13,22.0,5.61,23.5,0,0,
8,CT Tremlett (ENG),2007-2007,1,1,4.0,0,45,2,2/45,22.5,11.25,12.0,0,0,
9,T Turan (TKY),2019-2019,4,3,8.1,0,111,2,1/32,55.5,13.59,24.5,0,0,
10,S Vashisht (ROM),2019-2019,3,3,9.0,1,31,2,1/5,15.5,3.44,27.0,0,0,
11,AC Voges (AUS),2007-2013,7,1,2.0,0,5,2,2/5,2.5,2.5,6.0,0,0,
12,Waqas Maqsood (PAK),2018-2018,1,1,1.5,0,21,2,2/21,10.5,11.45,5.5,0,0,
13,SR Welsh (CAN),2008-2008,1,1,3.0,0,6,2,2/6,3.0,2.0,9.0,0,0,
14,AR White (IRE),2008-2012,18,1,4.0,0,18,2,2/18,9.0,4.5,12.0,0,0,
15,G Wijekoon (SL),2007-2007,3,3,11.0,0,101,2,1/12,50.5,9.18,33.0,0,0,
16,C Wright (Caym),2019-2019,6,4,7.0,0,53,2,2/34,26.5,7.57,21.0,0,0,
17,HN Ya France (NAM),2019-2019,6,6,13.0,0,82,2,1/3,41.0,6.3,39.0,0,0,
18,Zain ul Tashnam (CRC),2019-2019,3,2,8.0,1,35,2,1/16,17.5,4.37,24.0,0,0,
19,S Zargar (Mex),2019-2019,1,1,3.0,0,22,2,2/22,11.0,7.33,9.0,0,0,
20,Ziaur Rahman (AFG),2019-2019,1,1,4.0,0,42,2,2/42,21.0,10.5,12.0,0,0,
21,Adnan Idrees (KUW),2019-2019,6,3,7.0,0,67,1,1/34,67.0,9.57,42.0,0,0,
22,N Advani (GIBR),2019-2019,1,1,3.0,0,12,1,1/12,12.0,4.0,18.0,0,0,
23,Aftab Ahmed (2) (DEN),2019-2019,1,1,1.0,0,10,1,1/10,10.0,10.0,6.0,0,0,
24,GW Aldridge (NZ),2011-2011,1,1,4.0,0,45,1,1/45,45.0,11.25,24.0,0,0,
25,J Allen (),2019-2019,2,2,2.0,0,19,1,1/7,19.0,9.5,12.0,0,0,
26,TP Allen (USA),2019-2019,5,2,3.0,0,28,1,1/11,28.0,9.33,18.0,0,0,
27,Amir Ali (OMAN),2015-2016,10,5,9.0,0,67,1,1/6,67.0,7.44,54.0,0,0,
28,Amir Mangal (GER),2019-2019,9,5,6.4,0,57,1,1/17,57.0,8.55,40.0,0,0,
29,S Aravind (INDIA),2015-2015,1,1,3.4,0,44,1,1/44,44.0,12.0,22.0,0,0,
30,Ariful Haque (BDESH),2018-2018,9,1,1.0,0,13,1,1/13,13.0,13.0,6.0,0,0,
31,B Arora (MALTA),2019-2019,4,4,11.1,0,75,1,1/26,75.0,6.71,67.0,0,0,
32,Asad Mohammad (GER),2019-2019,9,8,24.0,0,158,1,1/18,158.0,6.58,144.0,0,0,
33,Asghar Afghan (AFG),2010-2019,66,1,0.4,0,4,1,1/4,4.0,6.0,4.0,0,0,
34,AA Banner (Blz),2019-2019,3,2,8.0,0,39,1,1/18,39.0,4.87,48.0,0,0,
35,CD Barnwell (WI),2011-2013,6,4,6.0,0,51,1,1/24,51.0,8.5,36.0,0,0,
36,A Bhattarai (NEPAL),2014-2014,1,1,3.0,0,12,1,1/12,12.0,4.0,18.0,0,0,
37,SR Bhudia (KENYA),2019-2019,4,4,9.0,0,63,1,1/6,63.0,7.0,54.0,0,0,
38,STR Binny (INDIA),2015-2016,3,3,5.0,0,54,1,1/14,54.0,10.8,30.0,0,0,
39,CC Blake (VAN),2019-2019,3,3,8.0,0,49,1,1/15,49.0,6.12,48.0,0,0,
40,N Boje (SA),2005-2005,1,1,4.0,0,27,1,1/27,27.0,6.75,24.0,0,0,
41,SG Borthwick (ENG),2011-2011,1,1,4.0,0,15,1,1/15,15.0,3.75,24.0,0,0,
42,DL Brangman (BMUDA),2019-2019,5,5,7.0,0,84,1,1/19,84.0,12.0,42.0,0,0,
43,CL Cairns (NZ),2005-2006,2,2,8.0,0,52,1,1/28,52.0,6.5,48.0,0,0,
44,A Carthew (Chile),2019-2019,4,1,2.0,0,19,1,1/19,19.0,9.5,12.0,0,0,
45,RD Chahar (INDIA),2019-2019,1,1,3.0,0,27,1,1/27,27.0,9.0,18.0,0,0,
46,Charanjeet Singh (ITA),2019-2019,3,2,5.0,0,35,1,1/18,35.0,7.0,30.0,0,0,
47,MS Crane (ENG),2017-2017,2,2,8.0,0,62,1,1/38,62.0,7.75,48.0,0,0,
48,H Dajc (Serb),2019-2019,2,1,4.0,0,36,1,1/36,36.0,9.0,24.0,0,0,
49,H Davids (SA),2012-2013,9,2,2.0,0,13,1,1/6,13.0,6.5,12.0,0,0,
0,PA Desai (CAN),2012-2012,1,1,3.0,0,30,1,1/30,30.0,10.0,18.0,0,0,
1,R Dhawan (INDIA),2016-2016,1,1,4.0,0,42,1,1/42,42.0,10.5,24.0,0,0,
2,M Dixit (LUX),2019-2019,3,3,9.0,0,93,1,1/51,93.0,10.33,54.0,0,0,
3,KR Ebanks (Caym),2019-2019,5,5,11.0,0,104,1,1/25,104.0,9.45,66.0,0,0,
4,Faisal Khan (Saudi),2019-2019,4,1,2.0,0,21,1,1/21,21.0,10.5,12.0,0,0,
5,Fayyaz Ahmed (UAE),2015-2015,1,1,3.0,0,29,1,1/29,29.0,9.66,18.0,0,0,
6,Fiaz Ahmad (KUW),2019-2019,3,3,5.0,0,56,1,1/13,56.0,11.2,30.0,0,0,
7,KK Flowers (Blz),2019-2019,3,1,2.0,0,16,1,1/16,16.0,8.0,12.0,0,0,
8,C Floyd (NL),2019-2019,2,2,5.0,0,51,1,1/14,51.0,10.2,30.0,0,0,
9,C Fry (LUX),2019-2019,3,3,7.0,1,62,1,1/3,62.0,8.85,42.0,0,0,
10,MD Garratt (GIBR),2019-2019,4,1,2.5,0,12,1,1/12,12.0,4.23,17.0,0,0,
